#検索キーワード	辞書	match	count	結果1	結果1_ID	結果1_検索順位	結果2	結果2_ID	結果2_検索順位	結果3	結果3_ID	結果3_検索順位	結果4	結果4_ID	結果4_検索順位	結果5	結果5_ID	結果5_検索順位	結果6	結果6_ID	結果6_検索順位	結果7	結果7_ID	結果7_検索順位	結果8	結果8_ID	結果8_検索順位	結果9	結果9_ID	結果9_検索順位	結果10	結果10_ID	結果10_検索順位
DNA methylase	univ	cs	10	CPG DNA methylase	0ce4a712a0b588e2b62bed63fc6a2bddmlt_after	rRNA methylases	38d2d4356c3725247d536afc388c294amlt_after	rRNA methylase YtqB	6cb19da962861083055c0b389c9282a6mlt_after	Increased DNA methylation 1	dc3f520a5eebb6a84db2981e2aa98dd9mlt_after	Increased DNA methylation 2	1d9a0f8c1fe612199f7b3ed5dd97d0a9mlt_after	Increased DNA methylation 3	6bf9001743cf07feb16a1975675e79bbmlt_after	Factor of DNA methylation 1	7ff12167ceec5685ff96f482db88e5e8mlt_after	Factor of DNA methylation 2	06491370c7380f4d1f8151deecb81827mlt_after	Factor of DNA methylation 3	52780a4582a7036e1546d3ec59493136mlt_after	Factor of DNA methylation 4	2ce10430d774a73118f81a3e25719d63mlt_after	Factor of DNA methylation 5	6c7f52d89e0eac50d251689cdd927c41mlt_after	RNA-directed DNA methylation 4	7e52085f42e8ff073dfba5133c7f78d6mlt_after	DNA N6-methyl adenine demethylase	5c2d054207c81463ad05bdd78526b62cmlt_after	DNA methyltransferase YeeA	c1bc75267e1133128335b77d43c693d0mlt_after	23S rRNA methylase leader peptide	97961b5cf311c3fca85933ecd5aa085emlt_after
DNA polymerase I (POL I)	univ	cs	10	DNA polymerase I	9adca6e13e514a835a8c692e7db29eccmlt_after	DNA polymerase IV	1b5ced7a85bf5eec7fb1dc53a47b7264mlt_after	DNA polymerase II	a626a9698bef6865e9a1f9b46bd44460mlt_after	DNA polymerase IV 1	aa27ed588cc6c811eefc134d190f846fmlt_after	DNA polymerase IV 2	389f34164cd90de78b6236a91437b6eamlt_after	DNA polymerase IV 3	17e21cedd8890ead920d6baf3a59bde8mlt_after	DNA polymerase III PolC-type	44421b64e487da5c36dcf2daf0093475mlt_after	DNA polymerase iota	ae5177d453c5dc7ff327abb235c0af1cmlt_after	DNA polymerase	e1bfc7bcf6861b6fe95f9ae1ff7a78fdmlt_after	DNA polymerase III DnaE	a036745facfb8f2eb820b7d331109235mlt_after	DNA polymerase 1	fb0ee40c38d2f8f51d8449633b360e47mlt_after	DNA polymerase 2	064e94edbfbc8763f9a4d3765359f1b1mlt_after	DNA polymerase 3	025456408f7bade2305ebab2dd2abe2bmlt_after	DNA polymerase nu	21b4a5d85a235b22fe0e8d8fb896e53bmlt_after	DNA polymerase eta	c2179693a37a9c4974c665407a9fc1bamlt_after
DNA polymerase III, beta subunit	univ	cs	10	DNA polymerase III subunit beta	00ad84edc78a3daae194f8cc7e64d0a2mlt_after	DNA polymerase III subunit theta	11b54f1eb554776c290ff7d0afb6582cmlt_after	DNA polymerase III subunit chi	48cc4394e68cd1f99deac0557f30b511mlt_after	DNA polymerase III subunit psi	1dfba09bd8bf9e0509e883a5b565ef52mlt_after	DNA polymerase III subunit tau	d05d6edce8427df8be2e2130fdc31970mlt_after	DNA polymerase III subunit delta	2942cedee752cbd6751ae4592607bff8mlt_after	DNA polymerase III subunit alpha	4163b2a5d0122708c097a7e136f22c8bmlt_after	DNA polymerase III subunit gamma	061683288d9ac4c3a0f3079617897effmlt_after	DNA polymerase III subunit delta'	9d67e2424be872a0ef1859d8a4069820mlt_after	DNA polymerase III subunit epsilon	6251f187086fa18c70318bd498785acbmlt_after	DNA polymerase III, delta subunit superfamily	3706ef9f4bc234047d216f16b6195560mlt_after	DNA polymerase III subunit gamma/tau	18b69b0f3b402e7da53e63c473c1f473mlt_after	DNA polymerase III subunit tau/gamma	5cc96c9b166b9864d6ffb81efc4d0c0bmlt_after	DNA polymerase delta subunit 2	76f786c10dd9f27f416dcc37f8098d33mlt_after	DNA polymerase delta subunit 3	f057a74d6ef1c2dc01977f0314009f1bmlt_after
DNA topoisomerase 3 (DNA topoisomerase III)	univ	cs	10	DNA topoisomerase III	8e10a6ee9300fd44557458f617f73e05mlt_after	DNA topoisomerase 3	5094166f317395ee820058942fae25e8mlt_after	DNA topoisomerase I	ed758ba4448c36af870b6772cca7a98dmlt_after	DNA topoisomerase	f25c97492ed4b181ee26ea08e1bdac67mlt_after	DNA topoisomerase 3-beta	71a151f9100367b3fa846149e0367dfamlt_after	DNA topoisomerase 1	1f07c8107a68abe5c053c0b61dd9518fmlt_after	DNA topoisomerase 2	d250c5847da30dce0e169248cf50c1e5mlt_after	DNA topoisomerase 3-alpha	3e340cee553627df4f25bd1fb7500895mlt_after	DNA topoisomerase 3-beta-1	f8d5fcad032a539d29fddac383d5abeemlt_after	DNA topoisomerase 1B	0ff6c494178e0dcd97f091834de23e8amlt_after	DNA topoisomerase 2 top-2	10b627742d46126aa635a6289e5cc7f5mlt_after	DNA topoisomerase I, plasmid	75cf956b5da03a6864b5b556931ec50dmlt_after	type I DNA topoisomerase	f450aa67e873ce47b17f7a195fc606bcmlt_after	DNA topoisomerase 1 beta	c16f7b195488a5cb595c4fc332910a9cmlt_after	DNA topoisomerase 2-beta	61fb51f57bb2ef931af1cc2c5a3f7a89mlt_after
DNA-binding protein HU 1 (DNA-binding protein II) (HB)	univ	cs	10	DNA-binding protein HU 1	d1de979b051be334a4ff7402979b2f59mlt_after	DNA-binding protein HU	9fa4b0b68dad472939d4fdf47733f99fmlt_after	DNA-binding protein HU 2	94056e8f0bcb720897b26dc41e63e9e8mlt_after	DNA-binding protein HU-beta	f6c213debcac4be3a8535926fb63eec7mlt_after	DNA-binding protein HU-like	837494a83279ac91500508b2b10eb92emlt_after	DNA-binding protein HU-alpha	9f04c2d6b9fdb397e4f67f74b38dc88dmlt_after	DNA-binding protein HU-beta 2	412f30d7fc7773a92d273e74c2c55a54mlt_after	DNA-binding protein HU homolog	a4ea072a256f360617c975e96f0cbfbemlt_after	DNA-binding protein H-NS	867edce5402c6005f371d79539998fa9mlt_after	DNA-binding protein HB1	035a68b9917692d571e239dc77dda391mlt_after	DNA-binding protein HRm	7b086d555a35070dc511f2879afa805amlt_after	DNA-binding protein HTa	1244121c82315c9ead150bf3ca125ad6mlt_after	DNA-binding protein H3-RL	32386b91b2d30e92ca842c7af2655522mlt_after	DNA-binding protein HBbu	1f1094c76d5124c577232ce41a7e3716mlt_after	DNA-binding protein HMf-1	d58021b326de028b8e443f7065f9d346mlt_after
ExbB\TolQ family transport protein	univ	cs	10	ExbB/TolQ family transport protein	cb284b06993fa04b5bbf2bca538cb3f5mlt_after	ExbD/TolR family transport protein	4b1fee9930ba5d7d8fd3f2f0343cb6c8mlt_after	SEC1 family transport protein SLY1	53f219c1082f40e1507d4b93e1dc6086mlt_after	GntP family transporter	3b617de54bc89b33f35472847d59ee2fmlt_after	BCCT family transporter	4d3add79cd03119b1c5582c6e5718ad8mlt_after	Biopolymer transport protein ExbB	d64667265bb53445fd8bc743ba065371mlt_after	EamA family transporter RarD	d965a79d5dc16e1bc0d4c9da1842d02cmlt_after	Biopolymer transport protein exbB1	adc87b7a540cb7fd9820b08bdd3481b4mlt_after	biopolymer transport protein ExbB-like 1	bc6cb97035e381faa5d2d96c5d6c60eamlt_after	biopolymer transport protein ExbB-like 2	37b916c3636bce7067fbc674a2a0ac56mlt_after	biopolymer transport protein ExbB-like 3	ab49b83d6aa6557278b33d646f3b26e8mlt_after	biopolymer transport protein ExbB homolog	b5de19a2ce9764f83269f68a915a7154mlt_after	solute:sodium symporter family transporter	ca725a8fd43ecbe736ec0b268dcc6a32mlt_after	major facilitator superfamily transporter	e466c3b7bca6499c224a7476b1a6e7f6mlt_after	transport protein	3c4fc58e6e1599781b7ac3a5411e66femlt_after
GMP synthase [glutamine-hydrolyzing] (Glutamineamidotransferase) (GMP synthetase)	univ	cs	10	GMP synthase [glutamine-hydrolyzing]	17cac6cca305107c02d4e1874dbf813emlt_after	GMP synthase [glutamine-hydrolyzing] 1	252f55f43623add3f27b7c0d8f289ea7mlt_after	GMP synthase [glutamine-hydrolyzing] 2	6c84d1ce152f91201786fc3d4dad37a6mlt_after	GMP synthase [glutamine-hydrolyzing] subunit A	6dbe5d46004e3fd69665e43d34f2ddf6mlt_after	GMP synthase [glutamine-hydrolyzing] subunit B	af562a4da65f12bd0950732d35abd763mlt_after	Asparagine synthetase [glutamine-hydrolyzing]	7bb89f0325b05d6e763ccee4ac12e973mlt_after	Asparagine synthetase [glutamine-hydrolyzing] 1	97c46b9cdb485c3f79482166b1697515mlt_after	Asparagine synthetase [glutamine-hydrolyzing] 2	7fdccbf0775bcc7f96e702eff898ca9amlt_after	Asparagine synthetase [glutamine-hydrolyzing] 3	8f8b6fc6999319accb8864c987f7f54cmlt_after	glutamine-hydrolyzing GMP synthase	a1aac3f2806b00ce33d3ab649dcbb113mlt_after	Asparagine synthetase B [glutamine-hydrolyzing]	e419fb9ef19b5e78ffaab1771104b21cmlt_after	Asparagine synthetase, nodule [glutamine-hydrolyzing]	ad887f46af4741c6918aedb644e7c9f5mlt_after	glutamine-hydrolyzing GMP synthase subunit GuaA	17ab5836b4e2b89c0da2ea7414859c9cmlt_after	Asparagine synthetase, root [glutamine-hydrolyzing]	ed303f8b2b331efa9c273dd5e846f93dmlt_after	glutamine amidotransferase	f8173098b1b3909931a80accf9d16fedmlt_after
GTP pyrophosphokinase (ATP:GTP 3'-pyrophosphotransferase)(ppGpp synthetase I) ((P)ppGpp synthetase)	univ	cs	10	GTP pyrophosphokinase, (p)ppGpp synthetase I, RelA	d89fd9f3ecf5c37b515907de69f24e39mlt_after	GTP pyrophosphokinase	8a008a6d0d280e508df6b6f184826664mlt_after	GTP pyrophosphokinase rsh	02269d1e09f199c3834c72182035bd0bmlt_after	GTP pyrophosphokinase YjbM	208c8f3dd3570a06013b7dc829e56e74mlt_after	GTP pyrophosphokinase YwaC	5d916eb680524e8d5b8a971e357a70b0mlt_after	Ribose-phosphate pyrophosphokinase A	393aa670b07a583743c34724bfa1cc21mlt_after	phosphoribosylpyrophosphate synthetase	4f7c7c09b2157abb3aadcf99d7fd8606mlt_after	pyrophosphate--fructose-6-phosphate 1-phosphotransferase	ea792abfc876ed2163fe814a80ee6867mlt_after	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase 1	48c854b6588b328d42cd16259b8a57f4mlt_after	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase 2	d3fd89c41f8ade5b55e53940983f1acbmlt_after	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase 3	d0b0d5d046cdf44d5b3224f00b99d0ffmlt_after	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	db33d3c1d97e1b14dabe664ad39280c9mlt_after	bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	cb0410d34bc52b46554d9a2e2275b2ecmlt_after	O-phosphotransferase MT2714	cda00bfc1039bd106dec7813a6278a0cmlt_after	O-phosphotransferase Mb2669	a5e70972ec275deed299bf9b5891ab3emlt_after
HIT family protein	univ	cs	10	Hit family protein 1	771f1dea2ce72596683cb03de4930d31mlt_after	FIT family protein SCS3	72f8f1b1fbfebcf37966f1a99d1031eemlt_after	FIT family protein YFT2	91adecc14310e901cb35bdc6b0f69155mlt_after	FIT family protein fitm-2	a17bb5d90c5ee92357a64ea50e16df05mlt_after	SprT family protein	0fb1483a99dd8d97644ae851b5a7b334mlt_after	yggt family protein	3e4cdcbbd989ce054d094c882fb25cfemlt_after	Ig family protein	804c18e09fb0bd75c4d05d8d2ec9bce1mlt_after	VOC family protein	cde9b5664c06f5ea04252d2dd23abe17mlt_after	BTG family protein	71ac3b4d376e431d687cd8f6cfca1a3amlt_after	SMF family protein	03aded1600774815ad151943f0f72498mlt_after	RnfH family protein	d6919395179b6a659b46758926081bbcmlt_after	YnfA family protein	5ed171f6f9a8bce833f538ecc585c393mlt_after	YggU family protein	2b9fb7b44b063f7188f32ed3e0a06baemlt_after	BrxE family protein	934e0100a78bcbdb0cbce0948404ac8bmlt_after	YdiU family protein	f01c407454feed981bf99b926a89a204mlt_after
Hit family protein	univ	cs	10	Hit family protein 1	771f1dea2ce72596683cb03de4930d31mlt_after	FIT family protein SCS3	72f8f1b1fbfebcf37966f1a99d1031eemlt_after	FIT family protein YFT2	91adecc14310e901cb35bdc6b0f69155mlt_after	FIT family protein fitm-2	a17bb5d90c5ee92357a64ea50e16df05mlt_after	SprT family protein	0fb1483a99dd8d97644ae851b5a7b334mlt_after	yggt family protein	3e4cdcbbd989ce054d094c882fb25cfemlt_after	Ig family protein	804c18e09fb0bd75c4d05d8d2ec9bce1mlt_after	VOC family protein	cde9b5664c06f5ea04252d2dd23abe17mlt_after	BTG family protein	71ac3b4d376e431d687cd8f6cfca1a3amlt_after	SMF family protein	03aded1600774815ad151943f0f72498mlt_after	RnfH family protein	d6919395179b6a659b46758926081bbcmlt_after	YnfA family protein	5ed171f6f9a8bce833f538ecc585c393mlt_after	YggU family protein	2b9fb7b44b063f7188f32ed3e0a06baemlt_after	BrxE family protein	934e0100a78bcbdb0cbce0948404ac8bmlt_after	YdiU family protein	f01c407454feed981bf99b926a89a204mlt_after
IspD/IspF bifunctional enzyme	univ	cs	10	Bifunctional enzyme IspD/IspF	001e02b604bc7d17912ae94a232afdcemlt_after	Bifunctional enzyme NodQ	85ee6810168afd5aff1706dfe740b6b2mlt_after	Bifunctional enzyme Fae/Hps	36c0d7dd36d603126482252d671e3c17mlt_after	Bifunctional enzyme MurC/Ddl	3ad38690ab5e5742feab2a87d7cf4efamlt_after	Bifunctional enzyme BirA/CoaX	a576d9baf8e67bb43398ed4ce033ea77mlt_after	Bifunctional enzyme CysN/CysC	4895b4ad7657b714a3908884d67387a4mlt_after	Bifunctional enzyme LpxC/FabZ	26e2a95b73a327607e0aa046d62ca504mlt_after	Bifunctional enzyme MtnB/MtnX	432d1ffbb6cc5efb2351efb9dcb63b4fmlt_after	Bifunctional enzyme NanE/NanK	692703eae0d1d69676d73da9786e4585mlt_after	Bifunctional enzyme PyrF/PyrE	d8e41ffdf2e355ca6fa5d5d9dfcf778bmlt_after	Bifunctional enzyme RhaA/RhaB	9027debf87248746b50b62c900653ec4mlt_after	Peroxisomal bifunctional enzyme	ae3cd9fde0cf4ded0288622a2ecabe0dmlt_after	bifunctional E2/E3 enzyme R795	8cc930bb36b81e6b5ebcf0ca68a33ba8mlt_after	thiamine biosynthetic bifunctional enzyme	37a61095ba4b93b1f98ee3006e0e35fdmlt_after	Peroxisomal multifunctional enzyme A	48d700085bdc7d4f1a3cc979ab529b7emlt_after
N- methylation	univ	cs	10	modification methylase NmeDIP	a2c133140c4087d88221d9d2ff392decmlt_after	Modification methylase AbrI	2c1a49e070997596180ec813f57cc7cemlt_after	Modification methylase AccI	9b4c5b0be36a60d4c0d923498012632emlt_after	Modification methylase AgeI	291e8ea17d013b14c867904d1f9e05afmlt_after	Modification methylase AluI	579f1f749329137b781dbbba7b72cdf9mlt_after	Modification methylase AplI	24d35ba428f58588f7ed0550e3a18405mlt_after	Modification methylase AvaI	917256b281227cb2333c784ff0fbc026mlt_after	Modification methylase BabI	1b27982780f2b0f771ab3ba8262e8f15mlt_after	Modification methylase BanI	62ef75c8f59b998bc3178926825e38d2mlt_after	Modification methylase BbvI	f480e2d6b39a84dbf8b614ffd7af0552mlt_after	Modification methylase BepI	8f162d79c2958af468bc99715d026ca6mlt_after	Modification methylase BglI	610f2c8cf2d1cea3d74cfee8eb6133e8mlt_after	Modification methylase BslI	fe618a2fe9d0d37745a5b142f4ab0ed4mlt_after	Modification methylase CeqI	bb2d882515d0e763c8b77d9163922d4dmlt_after	Modification methylase DdeI	ce38090826311f8e0e3e0fa04248b12dmlt_after
NAD-dependent deacetylase (Regulatory protein SIR2-like protein)	univ	cs	10	NAD-dependent deacetylase sir2A	362ea671f152e89f02d9d359dff84469mlt_after	NAD-dependent deacetylase sir2B	57e0e047c571c11306b2280e3a42bf81mlt_after	NAD-dependent deacetylase sir2C	c59289537876f02887776a4cb6ed9de8mlt_after	NAD-dependent deacetylase sir2D	5298eb0461cd620c50b26d74a4b377f2mlt_after	NAD-dependent deacetylase sir2E	47c7c48475796a206f25dfd64cfbb36amlt_after	NAD-dependent deacetylase	a5422143880a99791b86666ba730315fmlt_after	NAD-dependent protein deacetylase Sir2B	a8b6f647ca82bf4783504cd9ceba3ba1mlt_after	NAD-dependent protein deacetylase sir-2.1	57863ad95e41eb5b96de00e5eeae4636mlt_after	NAD-dependent protein deacetylase sir-2.4	692988048334641881ede758ea4a1241mlt_after	NAD-dependent protein deacetylase SIR2rp1	e885eff119569e9c728945f6edb920d7mlt_after	NAD-dependent histone deacetylase SIR2	d3334449b9543ed7798c9250ba92943bmlt_after	NAD-dependent protein deacetylase Sirt2	6c2e2f473c4211423b63d0960459f853mlt_after	NAD-dependent protein deacetylase Sirt6	e7b90d1ded79f149575af81e5be7755amlt_after	NAD-dependent protein deacetylase Sirt7	2d913f5c6a20580fc5c8b7c2af1120c3mlt_after	NAD-dependent protein deacetylase	4032384a4c459ff5da041cb87c671721mlt_after
NADH dehydrogenase ndh	univ	cs	10	NADH dehydrogenase	3d66e5bf85c086e9de0a807e3e2d166emlt_after	NADH dehydrogenase subunit C	a0874a33c56faea15778099cd864bf5fmlt_after	NADH dehydrogenase subunit N	ee082e34ebd020fb922226e7a7ec1005mlt_after	NADH dehydrogenase subunit G	555eadbda85c31b3bab45433ceacc07emlt_after	NADH dehydrogenase subunit 5	9ce4ce502b8835587e4f16eea8532371mlt_after	NADH dehydrogenase subunit M	418eba086b3dbf2ee38071865e2c8039mlt_after	NADH dehydrogenase subunit L	72adb04ca208229cd5f600c1fe53d36fmlt_after	NADH dehydrogenase subunit J	f724a42585ea73a2c1fb42b1edc5a42emlt_after	NADH dehydrogenase subunit A	e57e9cdb3e11a455915b7044418ff872mlt_after	NADH dehydrogenase subunit D	78380e7f968fb96de07669d04fcb9043mlt_after	NADH dehydrogenase subunit E	a29bc3438aceccdf0011e1d696409edfmlt_after	NADH dehydrogenase subunit B	e52f035c0a99496d8e4bacb98253a31amlt_after	NADH dehydrogenase subunit 4	81d987725e0535ef261fdbd0e6dbd48emlt_after	NADH dehydrogenase/NAD(P)H nitroreductase	2d0f7e44a189b9180fe04b6ccdc116b1mlt_after	NADH dehydrogenase subunit PS9	d84793c74f64ceedd7d8d12980d82bdbmlt_after
NADH-quinone oxidoreductase chain l (nadh dehydrogenasei, chain l) (ndh-1, chain l)	univ	cs	10	NADH-quinone oxidoreductase chain 1	0288fc1f6eba71f20330d8b51f8142c2mlt_after	NADH-quinone oxidoreductase chain 2	59eeb05c8da39ad885ce8e587df38246mlt_after	NADH-quinone oxidoreductase chain 3	7f7cda5edeee198ef24d4a6b35e18817mlt_after	NADH-quinone oxidoreductase chain 5	9088060454615360220ad1e0ec6b1283mlt_after	NADH-quinone oxidoreductase chain 10	469471dd32a1ee449730f59bbedca4ecmlt_after	NADH-quinone oxidoreductase chain 12	541134f272f63c6e25438938c998acddmlt_after	NADH-quinone oxidoreductase chain 13	f4a220f321dfe5b2f57f77c567351abbmlt_after	NAD(P)H-quinone oxidoreductase chain 4	ff1e9162c71424bfd5b436ff114eb878mlt_after	NAD(P)H-quinone oxidoreductase chain 5	11773f9543c5f1cabe90e8f7d5462659mlt_after	NAD(P)H-quinone oxidoreductase chain 6	d41d34b2f1333d0aee5b0a79bbe5b9bamlt_after	NAD(P)H-quinone oxidoreductase chain 4 1	3a719a09bc571cd2c445e078dc975c02mlt_after	NAD(P)H-quinone oxidoreductase chain 4 2	717c9cf4daa7dab4d9ec24c9d2a00468mlt_after	NAD(P)H-quinone oxidoreductase chain 4 3	05bf3c7b8d10c7353a570d96e9a21839mlt_after	NADH-ubiquinone oxidoreductase chain 1	7d714e5b7c102fd9eddcf7183912cbb5mlt_after	NADH-ubiquinone oxidoreductase chain 2	e7a74387bc9beee3a8c8e22df5d75e0fmlt_after
NADH-quinone oxidoreductase chain m (nadh dehydrogenasei, chain m) (ndh-1, chain m)	univ	cs	10	NADH-quinone oxidoreductase chain 1	0288fc1f6eba71f20330d8b51f8142c2mlt_after	NADH-quinone oxidoreductase chain 2	59eeb05c8da39ad885ce8e587df38246mlt_after	NADH-quinone oxidoreductase chain 3	7f7cda5edeee198ef24d4a6b35e18817mlt_after	NADH-quinone oxidoreductase chain 5	9088060454615360220ad1e0ec6b1283mlt_after	NADH-quinone oxidoreductase chain 10	469471dd32a1ee449730f59bbedca4ecmlt_after	NADH-quinone oxidoreductase chain 12	541134f272f63c6e25438938c998acddmlt_after	NADH-quinone oxidoreductase chain 13	f4a220f321dfe5b2f57f77c567351abbmlt_after	NAD(P)H-quinone oxidoreductase chain 4	ff1e9162c71424bfd5b436ff114eb878mlt_after	NAD(P)H-quinone oxidoreductase chain 5	11773f9543c5f1cabe90e8f7d5462659mlt_after	NAD(P)H-quinone oxidoreductase chain 6	d41d34b2f1333d0aee5b0a79bbe5b9bamlt_after	NAD(P)H-quinone oxidoreductase chain 4 1	3a719a09bc571cd2c445e078dc975c02mlt_after	NAD(P)H-quinone oxidoreductase chain 4 2	717c9cf4daa7dab4d9ec24c9d2a00468mlt_after	NAD(P)H-quinone oxidoreductase chain 4 3	05bf3c7b8d10c7353a570d96e9a21839mlt_after	NADH-ubiquinone oxidoreductase chain 1	7d714e5b7c102fd9eddcf7183912cbb5mlt_after	NADH-ubiquinone oxidoreductase chain 2	e7a74387bc9beee3a8c8e22df5d75e0fmlt_after
NADH-quinone oxidoreductase subunit i (nadhdehydrogenase i subunit i) (ndh-1 subunit i)	univ	cs	10	NADH-quinone oxidoreductase subunit I	ec3daae32bdde95c4c5a9d97032f330cmlt_after	NADH-quinone oxidoreductase subunit I 1	d62bb0785d813a2aecb437f4ed32af2bmlt_after	NADH-quinone oxidoreductase subunit I 2	48415f7f2297c2829f5a1d303321bc4amlt_after	NADH-quinone oxidoreductase subunit G	2eb5fb3edfd3cce404633a53f494cd76mlt_after	NADH-quinone oxidoreductase subunit A	2d9c97704492e0240022076aade1b83dmlt_after	NADH-quinone oxidoreductase subunit M	7c970faa09d8e1ac9fc2b9f67f1a078amlt_after	NADH-quinone oxidoreductase subunit L	16195a02194b6e03e3724800bfe335b0mlt_after	NADH-quinone oxidoreductase subunit J	00ef21528e464a288c4435e17a6439c7mlt_after	NADH-quinone oxidoreductase subunit C	9f35ac10c647093a8ea84693e745bad4mlt_after	NADH-quinone oxidoreductase subunit 1	2d06c79d9168cced9c4cd9245bbdc8eamlt_after	NADH-quinone oxidoreductase subunit 2	819462636b88ed850d1dc1ebddb7c23emlt_after	NADH-quinone oxidoreductase subunit 3	2f7bad3f940c266db22cbbbfa64635dbmlt_after	NADH-quinone oxidoreductase subunit 4	dfb75db917a3cc7a3248b8b606cf4023mlt_after	NADH-quinone oxidoreductase subunit 5	810470eecbe3f92f35e351fba92650aemlt_after	NADH-quinone oxidoreductase subunit 6	c116c0233220aea4bb8ab8eda4c4b7b5mlt_after
NADH-quinone oxidoreductase, j subunit	univ	cs	10	NADH-quinone oxidoreductase subunit G	2eb5fb3edfd3cce404633a53f494cd76mlt_after	NADH-quinone oxidoreductase subunit A	2d9c97704492e0240022076aade1b83dmlt_after	NADH-quinone oxidoreductase subunit M	7c970faa09d8e1ac9fc2b9f67f1a078amlt_after	NADH-quinone oxidoreductase subunit L	16195a02194b6e03e3724800bfe335b0mlt_after	NADH-quinone oxidoreductase subunit J	00ef21528e464a288c4435e17a6439c7mlt_after	NADH-quinone oxidoreductase subunit C	9f35ac10c647093a8ea84693e745bad4mlt_after	NADH-quinone oxidoreductase subunit 1	2d06c79d9168cced9c4cd9245bbdc8eamlt_after	NADH-quinone oxidoreductase subunit 2	819462636b88ed850d1dc1ebddb7c23emlt_after	NADH-quinone oxidoreductase subunit 3	2f7bad3f940c266db22cbbbfa64635dbmlt_after	NADH-quinone oxidoreductase subunit 4	dfb75db917a3cc7a3248b8b606cf4023mlt_after	NADH-quinone oxidoreductase subunit 5	810470eecbe3f92f35e351fba92650aemlt_after	NADH-quinone oxidoreductase subunit 6	c116c0233220aea4bb8ab8eda4c4b7b5mlt_after	NADH-quinone oxidoreductase subunit 7	4f6166e0f7a6e03026c4bb756619a132mlt_after	NADH-quinone oxidoreductase subunit 8	c5b3d3ec53bf3bf9a4e8d9f1f348a267mlt_after	NADH-quinone oxidoreductase subunit 9	171f9e4f7b9b3bc059efc84d77d90771mlt_after
NADH-ubiquinone oxidoreductase chain 3 (nadhdehydrogenase subunit 3)	univ	cs	10	NADH-ubiquinone oxidoreductase chain 3	f9a7627809dfc8669293b4d01a74c273mlt_after	NADH-ubiquinone oxidoreductase subunit 8	3d642d51e0519a454af76a67d81fdc6emlt_after	NADH-ubiquinone oxidoreductase subunit 9	39a26a2420b1bc8d77b7d332a7ef7b9cmlt_after	NADH-ubiquinone oxidoreductase chain 1	7d714e5b7c102fd9eddcf7183912cbb5mlt_after	NADH-ubiquinone oxidoreductase chain 2	e7a74387bc9beee3a8c8e22df5d75e0fmlt_after	NADH-ubiquinone oxidoreductase chain 4	974ec0e2dd9c24e6afbb48d9f42be78emlt_after	NADH-ubiquinone oxidoreductase chain 5	a1eff4dab8f87ed6c0b7931fbbf84d07mlt_after	NADH-ubiquinone oxidoreductase chain 6	fc9d254277570bc4a8975fe564ca4dafmlt_after	NADH-ubiquinone oxidoreductase chain 4L	d6beaaaebb95832efc24aa18b40af18cmlt_after	NADH-ubiquinone oxidoreductase 11 kDa subunit	17c86069860b12f4cee633f6823af63emlt_after	NADH-ubiquinone oxidoreductase 12 kDa subunit	db55af04341dda9e0f17c788f4e1a9bbmlt_after	NADH-ubiquinone oxidoreductase 16 kDa subunit	421ef912c69b9b5320fed460b66d93fdmlt_after	NADH-ubiquinone oxidoreductase 18 kDa subunit	b12f09e909d878f460210ae21571cc60mlt_after	NADH-ubiquinone oxidoreductase 20 kDa subunit	04c5d932a070465e3d65a687f6f57767mlt_after	NADH-ubiquinone oxidoreductase 29 kDa subunit	ad97434971cbad7ad5321cc7108e9767mlt_after
NADP-dependent malic enzyme (nadp-me)	univ	cs	10	NADP-dependent malic enzyme	a348c690d2938d57c0a81afd9a643307mlt_after	NADP-dependent malic enzyme 1	dd3efcee93111099562ab7b70425a4e8mlt_after	NADP-dependent malic enzyme 2	d7faa933dac169c5ac66fc7537c02e11mlt_after	NADP-dependent malic enzyme 3	6c05d2d45e5c33eeee226c1b10a46392mlt_after	NAD-dependent malic enzyme	fee1b377f7be9ca1b945c0737084031amlt_after	NAD-dependent malic enzyme 1	9f1d1b6f873109b6c51cc73b9c3e62abmlt_after	NAD-dependent malic enzyme 2	467174e5051a1b6b954ff837c53e670bmlt_after	NAD-dependent malic enzyme 3	7eb0c6d774805058c8ba0d7f77ce24bfmlt_after	NAD-dependent malic enzyme 4	805b5d2ef958e64eefbe148f4682a535mlt_after	NADP-dependent malic enzyme, chloroplastic	0641431475277a06b9ddbb2825c6d349mlt_after	NADP-dependent malic enzyme, mitochondrial	94e215c041fd3f6cb6f6629b81e21691mlt_after	NADP-dependent malic enzyme 4, chloroplastic	a644cec8f446c963a6816ae41158e43emlt_after	NAD-dependent malic enzyme, mitochondrial	cf7631f687e74608e2076d66f094cb08mlt_after	NAD-dependent malic enzyme 1, mitochondrial	c6c2896a64bea08321f4f4a09f5dc843mlt_after	NAD-dependent malic enzyme 2, mitochondrial	83fed7c6a16225c5ba3f6083015e796cmlt_after
